operatorId,company,executiveIndex,executiveName,field,formKey,airtableColumn,airtableValue,explorerApiValue,status,setupTab
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Headshot,exec_2_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/ou-y__-mg3Xb7aALn6M7Xg/ct_rlQY4s0yAQYdm4Byld_BqrLYZ5DEIqJ6DXcBfZ3VnBbm_gyEHFHgXIP_me6RfUuiP3OtJRERB5klUFncD9BPg4ii0PeYBeUS9fCIB-B9bh9kzum2QRAwA4UXxVTtRhuQ1u2mliU3Rd4J8ZCOCYA/-SjIrgibmvpxYosgC86QwmuKSpwS4JJCaexrno3U5sY,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Hospitality yrs (Credentials),exec_2_hospitality_experience_years,hospitality_experience_years,28,24,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Company tenure (Credentials),exec_2_company_tenure_years,company_tenure_years,9,4,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Prior background (Credentials),exec_2_prior_background,prior_background,Hilton CALA development — 350+ management & franchise agreements,Highgate Caribbean & Latin America — owner relations & deal sourcing,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Languages,exec_2_languages,languages,English; Spanish,English; Spanish,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Markets,exec_2_market_experience,market_experience,CALA — Regional; Caribbean; Mexico; Brazil,CALA — Regional; Caribbean; Mexico; Dominican Republic,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Expertise,exec_2_core_expertise,core_expertise,Development; Owner Relations; Pre-Opening / Transitions,Development; Owner Relations; Sales & Marketing,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Asset types,exec_2_relevant_asset_types,relevant_asset_types,Resort; Full-Service; Branded,Resort; Lifestyle; Branded,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Name,exec_3_name,name,Mariana Gonzalez,Marilia Pergola,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Title,exec_3_title,title,Director - Shared Services and Ops Finance,"VP of Operations, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Role line,exec_3_role,role,CALA · Native of Mexico,CALA · Native of Brazil,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Card summary,exec_3_summary,summary,Leads Hotel Equities’ Shared Services Center (SSC) in Mexico for back-office operations—supporting HE CALA scale with disciplined ops finance.,"Leads operational strategy and execution across HE’s expanding CALA portfolio—revenue management, brand compliance, financial performance, and pre-opening excellence.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Executive bio,exec_3_bio,bio,"Previously at Hilton overseeing the Hilton Shared Services Office in Mexico and the Dominican Republic across brands from focused service to 1,000+ key luxury all-inclusive properties. Bilingual Spanish and English.",Builds strong owner relationships and elevates guest experiences throughout the region. Signals HE’s commitment to an in-market leadership team with tailored support for owners and partners.,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Headshot,exec_3_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/txJuJsKjlZsIKa5hzzKMrQ/vg0YzdF_VC_cBX9fwENpaGn1jamxbGtGS7jS45q9TJhreokZi3OdbWCUdnQInEcb1JIoFyDFl8WJrrsODtyRwgwuJzVctBAcatiCgFwSOspZ6HHVaoEobbyrao9iX3lGBZFcsYTQYbrSpdDScmm6-Q/Ke4ZGpGtEougnz7RqroJylW0BvEl94-Y_Zh7H61plYw,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Hospitality yrs (Credentials),exec_3_hospitality_experience_years,hospitality_experience_years,26,20,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Company tenure (Credentials),exec_3_company_tenure_years,company_tenure_years,9,6,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Prior background (Credentials),exec_3_prior_background,prior_background,Hospitality finance — owner reporting & asset-level P&L,Branded resort operations — revenue & pre-opening excellence,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Languages,exec_3_languages,languages,English; Spanish,English; Spanish; Portuguese,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Markets,exec_3_market_experience,market_experience,Dominican Republic; Mexico; CALA — Regional,Brazil; CALA — Regional; Caribbean,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Expertise,exec_3_core_expertise,core_expertise,Finance & Owner Reporting; Owner Relations,Operations; Revenue Management; Brand Compliance,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),3,Marilia Pergola,Asset types,exec_3_relevant_asset_types,relevant_asset_types,Full-Service; Branded; Resort,Resort; Full-Service; Branded,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Name,exec_4_name,name,Margie Aristy Mai,Martin Larralde,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Title,exec_4_title,title,"Director of Sales and Marketing, Caribbean & Latin America","VP of Finance, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Role line,exec_4_role,role,CALA · Native of Dominican Republic,CALA · Native of Uruguay,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Card summary,exec_4_summary,summary,"Leads revenue growth and brand strategy across the Caribbean and Latin America—market positioning, business development, and integrated marketing campaigns.","Oversees financial operations, strategy, and performance management across HE CALA’s hotels—working with ownership and internal teams to optimize asset performance.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Executive bio,exec_4_bio,bio,10+ years in hospitality sales. Bilingual English and Spanish (learning Italian). Strong grasp of regional market dynamics and a results-driven approach to sales leadership.,"10+ years in hospitality finance: cross-border planning, capital management, and forecasting for full-service and resort properties. Fluent English and Spanish. Finance lead for Hilton All-Inclusive, launching integration of finance systems and technology.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Headshot,exec_4_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/_inHOdSspQ8DQ9TsYey2tQ/1MhoIdi8mI-2ttDsBpOTMeD-VNBWru2AdpyTlrfDKA8g7ulkIIoZJs7h9-0v4DXAiewfjLoNkyAvmN6mYVKhGI5LH2k24G6-f3bQGU8Mv3ePflfysDa9PWl7DfI6qvkuWjqUhlqFgN1b1g-Bo8h9rg/qYTOVaFyCD4oTd-fLNiU31A40ZKZQi3ofGji2r68iTQ,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Hospitality yrs (Credentials),exec_4_hospitality_experience_years,hospitality_experience_years,21,18,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Company tenure (Credentials),exec_4_company_tenure_years,company_tenure_years,12,5,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Prior background (Credentials),exec_4_prior_background,prior_background,CALA hospitality operator — branded and independent assets,Hilton All-Inclusive finance — cross-border planning & forecasting,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Languages,exec_4_languages,languages,English; Spanish,English; Spanish,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Markets,exec_4_market_experience,market_experience,Dominican Republic; Caribbean; CALA — Regional,CALA — Regional; Caribbean; Mexico,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Expertise,exec_4_core_expertise,core_expertise,Development; Owner Relations; Pre-Opening / Transitions; Revenue Management,Finance & Owner Reporting; Owner Relations,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),4,Martin Larralde,Asset types,exec_4_relevant_asset_types,relevant_asset_types,Full-Service; Branded; Resort,Resort; Full-Service; Branded,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Name,exec_5_name,name,Martin Larralde,Maria del Pilar Garcia,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Title,exec_5_title,title,"VP of Finance, Caribbean & Latin America","Senior Director of IT Systems, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Role line,exec_5_role,role,CALA · Native of Uruguay,CALA · Native of Panama,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Card summary,exec_5_summary,summary,"Oversees financial operations, strategy, and performance management across HE CALA’s hotels—working with ownership and internal teams to optimize asset performance.","Oversees strategic planning and implementation of technology across HE’s portfolio—IT infrastructure, cybersecurity, and system integrations for operational efficiency.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Executive bio,exec_5_bio,bio,"10+ years in hospitality finance: cross-border planning, capital management, and forecasting for full-service and resort properties. Fluent English and Spanish. Finance lead for Hilton All-Inclusive, launching integration of finance systems and technology.","10+ years in hospitality technology. IT lead for Hilton All-Inclusive and Luxury launches including Opera, per-person pricing, wearables, and related platforms. Keeps HE at the forefront of hospitality technology innovation.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Headshot,exec_5_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/bAK6UTZab4whyLyppjSiWQ/7Q1E8CdftvopXOQ4Q-x5CNKwuwXTFH3M2z7Jqa-cdYql536vGIiJCTnjkIjCb8q0WnBC5Y0nFGzCo9kfoKxZMc869YV88MFeCqZlAyjWTwkCcvtXNUA0D2BBcIQLwbRaqVQP_vKSQXcgEodPRNpGGw/2hxzVstzIJluDeDYWTi8ibQY9dR8hr0hXQe-VMAMAqU,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Hospitality yrs (Credentials),exec_5_hospitality_experience_years,hospitality_experience_years,18,25,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Company tenure (Credentials),exec_5_company_tenure_years,company_tenure_years,5,14,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Prior background (Credentials),exec_5_prior_background,prior_background,Hilton All-Inclusive finance — cross-border planning & forecasting,"Hospitality technology — PMS, integrations & cybersecurity",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Languages,exec_5_languages,languages,English; Spanish,English; Spanish,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Markets,exec_5_market_experience,market_experience,CALA — Regional; Caribbean; Mexico,Panama; Caribbean; CALA — Regional,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Expertise,exec_5_core_expertise,core_expertise,Finance & Owner Reporting; Owner Relations,Technology; Operations,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),5,Maria del Pilar Garcia,Asset types,exec_5_relevant_asset_types,relevant_asset_types,Resort; Full-Service; Branded,Full-Service; Branded; Resort,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Name,exec_6_name,name,Marilia Pergola,Margie Aristy Mai,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Title,exec_6_title,title,"VP of Operations, Caribbean & Latin America","Director of Sales and Marketing, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Role line,exec_6_role,role,CALA · Native of Brazil,CALA · Native of Dominican Republic,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Card summary,exec_6_summary,summary,"Leads operational strategy and execution across HE’s expanding CALA portfolio—revenue management, brand compliance, financial performance, and pre-opening excellence.","Leads revenue growth and brand strategy across the Caribbean and Latin America—market positioning, business development, and integrated marketing campaigns.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Executive bio,exec_6_bio,bio,Builds strong owner relationships and elevates guest experiences throughout the region. Signals HE’s commitment to an in-market leadership team with tailored support for owners and partners.,10+ years in hospitality sales. Bilingual English and Spanish (learning Italian). Strong grasp of regional market dynamics and a results-driven approach to sales leadership.,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Headshot,exec_6_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/0t5lW8VdIgsLH2QrnaGGRg/a5TWd4N3ZtFSm2u-i9tfaFBrG28bU0-E90IN0flgX8lRP_IG-KKrwKbYJGVavwQws2xPX5I7sKgM7WF1V0dkedrTsJp0jWpodrnGnGsm7eZPtIPabKMZokFsnt_XtGgMBMTQDWpzWcZk-qrBWnx5iw/v1sR-en5tKEGTD8Z_VO3mfQYp0HID17cBkg4WJUEHL4,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Hospitality yrs (Credentials),exec_6_hospitality_experience_years,hospitality_experience_years,20,21,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Company tenure (Credentials),exec_6_company_tenure_years,company_tenure_years,6,12,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Prior background (Credentials),exec_6_prior_background,prior_background,Branded resort operations — revenue & pre-opening excellence,CALA hospitality operator — branded and independent assets,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Languages,exec_6_languages,languages,English; Spanish; Portuguese,English; Spanish,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Markets,exec_6_market_experience,market_experience,Brazil; CALA — Regional; Caribbean,Dominican Republic; Caribbean; CALA — Regional,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Expertise,exec_6_core_expertise,core_expertise,Operations; Revenue Management; Brand Compliance,Development; Owner Relations; Pre-Opening / Transitions; Revenue Management,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),6,Margie Aristy Mai,Asset types,exec_6_relevant_asset_types,relevant_asset_types,Resort; Full-Service; Branded,Full-Service; Branded; Resort,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Name,exec_7_name,name,Michael Register,Rodrigo Cuello,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Title,exec_7_title,title,"Chief Development Officer, Caribbean & Latin America","Sr. Director of Human Resources, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Role line,exec_7_role,role,CALA · Native of US/Netherlands,CALA · Native of Argentina,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Card summary,exec_7_summary,summary,Leads sourcing of new opportunities and owner relations for Hotel Equities CALA. Former Managing Director at Highgate focused on the Caribbean and Latin America; prior partner in Trust Hospitality.,"Leads recruitment, training, employee relations, compensation, benefits, and organizational development for HE CALA—with deep experience in openings and rebranding.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Executive bio,exec_7_bio,bio,"Instrumental in sourcing and negotiating management contracts across CALA. Trust managed hotels across Mexico, DR, Colombia, Brazil, Jamaica, Costa Rica, Panama, Anguilla, Aruba, Curaçao, Bahamas, Turks & Caicos, Trinidad, and St. Lucia. Earlier: Nikki Beach worldwide openings; co-founder of software company AAT; corporate and business law in Brazil and Miami.","Strong track record hiring executive and large-scale hospitality talent, with multicultural LATAM experience and a psychology background. Bilingual Spanish and English. Focuses on smooth, proper openings and organizational health.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Headshot,exec_7_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/iwb6eXc0Uu42G-5s5gEvZQ/b-4ZWWidTY-gzkv5Ka8JOpX3XCa2OwqchY3fUvYzR6jMsaYFD_-mRg5cFnQcQh8cSjq0t0-Yz2ljSXVFMVkK0_MYDUugoApfJECaeLIdT-AD9JRSsDh-62nxVHqZkVlQgDa-RU3XD3wCqIXJR8LjMw/cvvQSo1tjEy1dKGwJLWpgIbsDSlPAQrk8uKQo0-G_EQ,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Hospitality yrs (Credentials),exec_7_hospitality_experience_years,hospitality_experience_years,24,23,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Company tenure (Credentials),exec_7_company_tenure_years,company_tenure_years,4,6,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Prior background (Credentials),exec_7_prior_background,prior_background,Highgate Caribbean & Latin America — owner relations & deal sourcing,"Hospitality HR — openings, labor relations & talent systems",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Languages,exec_7_languages,languages,English; Spanish,English; Spanish,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Markets,exec_7_market_experience,market_experience,CALA — Regional; Caribbean; Mexico; Dominican Republic,Argentina; Caribbean; CALA — Regional,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Expertise,exec_7_core_expertise,core_expertise,Development; Owner Relations; Sales & Marketing,HR / Talent; Operations; Pre-Opening / Transitions,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),7,Rodrigo Cuello,Asset types,exec_7_relevant_asset_types,relevant_asset_types,Resort; Lifestyle; Branded,Full-Service; Branded; Resort,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Name,exec_8_name,name,Rodrigo Cuello,Mariana Gonzalez,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Title,exec_8_title,title,"Sr. Director of Human Resources, Caribbean & Latin America",Director - Shared Services and Ops Finance,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Role line,exec_8_role,role,CALA · Native of Argentina,CALA · Native of Mexico,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Card summary,exec_8_summary,summary,"Leads recruitment, training, employee relations, compensation, benefits, and organizational development for HE CALA—with deep experience in openings and rebranding.",Leads Hotel Equities’ Shared Services Center (SSC) in Mexico for back-office operations—supporting HE CALA scale with disciplined ops finance.,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Executive bio,exec_8_bio,bio,"Strong track record hiring executive and large-scale hospitality talent, with multicultural LATAM experience and a psychology background. Bilingual Spanish and English. Focuses on smooth, proper openings and organizational health.","Previously at Hilton overseeing the Hilton Shared Services Office in Mexico and the Dominican Republic across brands from focused service to 1,000+ key luxury all-inclusive properties. Bilingual Spanish and English.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Headshot,exec_8_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/eh7cZE7BiLVBHFYbSfckqg/DA9a-2dXQjbveBaj6NzVnwpNi6SbLVoYZBMnx2lkRtbhDD-cBWwIzjxCWRe3vpPt8_GOYC7zgHqyuR8fBhrTpn1rHgNmVbNeN1m1Bi-CoeciDRjAcuwqKg42Gd63aoBkmmvUGEXpXd65l4NkuuADAg/9ZqV4R5HE9JNyoKSt43E_QbOQgy8KtRnvwayryB_bB0,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Hospitality yrs (Credentials),exec_8_hospitality_experience_years,hospitality_experience_years,23,26,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Company tenure (Credentials),exec_8_company_tenure_years,company_tenure_years,6,9,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),8,Mariana Gonzalez,Prior background (Credentials),exec_8_prior_background,prior_background,"Hospitality HR — openings, labor relations & talent systems",Hospitality finance — owner reporting & asset-level P&L,POPULATED,8. Leadership & Team
