censusRecordId,censusName,censusCity,censusCountry,propertyId,propertyUrl,htmlFile,instructions
rec8VbiatJup4g2ZI,Radisson Hotel Puerto Varas,Puerto Varas,Chile,CL013,https://www.choicehotels.com/chile/puerto-varas/radisson-hotels/cl013,reports/choice-amenity-html/cl013.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec99PlN1Z4j0pSZj,Radisson Hotel & Convention Center Toluca,Toluca,Mexico,MX185,https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,reports/choice-amenity-html/mx185.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recB0sjy8eQbw7IkO,"Radisson Hotel Sao Paulo, Pinheiros",São Paulo,Brazil,BR183,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br183,reports/choice-amenity-html/br183.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Saltillo,Mexico,MX070,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,reports/choice-amenity-html/mx070.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Taguatinga,Brazil,BR073,https://www.choicehotels.com/distrito-federal/taguatinga/comfort-inn-hotels/br073,reports/choice-amenity-html/br073.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,São José do Rio Preto,Brazil,BR090,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,reports/choice-amenity-html/br090.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recCFOVKqiBIfxfu5,Clarion Hotel Faria Lima,Sao Paulo,Brazil,BR013,https://www.choicehotels.com/sao-paulo/sao-paulo/clarion-hotels/br013,reports/choice-amenity-html/br013.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recCZqZoIfrf7MKAZ,Quality Hotel Aracaju,Aracaju,Brazil,BR069,https://www.choicehotels.com/sergipe/aracaju/quality-inn-hotels/br069,reports/choice-amenity-html/br069.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recDLgo6qnMMm44Kr,Radisson Hotel Barra Rio De Janeiro,Rio de Janeiro,Brazil,BR153,https://www.choicehotels.com/rio-de-janeiro/barra-de-tijuca/radisson-hotels/br153,reports/choice-amenity-html/br153.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mazatlan,Mexico,MX166,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,reports/choice-amenity-html/mx166.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recEVAyuUgQqrsAa6,Comfort Inn Monterrey Valle,Monterrey,Mexico,MX051,https://www.choicehotels.com/nuevo-leon/monterrey/comfort-inn-hotels/mx051,reports/choice-amenity-html/mx051.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recFuwaeV12nr5j64,Comfort Hotel Manaus,Manaus,Brazil,BR083,https://www.choicehotels.com/amazonas/manaus/comfort-inn-hotels/br083,reports/choice-amenity-html/br083.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Salinas,Puerto Rico,PR029,https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,reports/choice-amenity-html/pr029.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recJG39v9OTcwihy8,Comfort Inn & Suites Levittown,Toa Baja,Puerto Rico,PR006,https://www.choicehotels.com/puerto-rico/levittown/comfort-inn-hotels/pr006,reports/choice-amenity-html/pr006.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recKsMXA0bk9sxztJ,Radisson Hotel Monterrey San Jeronimo,Monterrey,Mexico,MX182,https://www.choicehotels.com/nuevo-leon/monterrey/radisson-hotels/mx182,reports/choice-amenity-html/mx182.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Guarulhos,Brazil,BR152,https://www.choicehotels.com/sao-paulo/guarulhos/comfort-inn-hotels/br152,reports/choice-amenity-html/br152.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recMaPQqCZwid4h3j,San Jose de Puembo Quito Airport an Ascend Member,Quito,Ecuador,EC001,https://www.choicehotels.com/ecuador/quito/ascend-hotels/ec001,reports/choice-amenity-html/ec001.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recQ33UuRCjytmL54,Radisson Blu Sao Paulo,Sao Paulo,Brazil,BR167,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-blu-hotels/br167,reports/choice-amenity-html/br167.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recQVxeHdrKdQlQNF,Radisson Grenada Beach Resort,St George's,Grenada,GD002,https://www.choicehotels.com/grenada/st-georges/radisson-hotels/gd002,reports/choice-amenity-html/gd002.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recRJCsqWdTRChk7s,Sleep Inn Mazatlan,Mazatlan,Mexico,MX091,https://www.choicehotels.com/sinaloa/mazatlan/sleep-inn-hotels/mx091,reports/choice-amenity-html/mx091.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recROU7DMIHSXYyCc,Sleep Inn Mexicali,Mexicali,Mexico,MX095,https://www.choicehotels.com/baja-california/mexicali/sleep-inn-hotels/mx095,reports/choice-amenity-html/mx095.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recRvAnTquNCA2I5T,Park Inn By Radisson Quito,Quito,Ecuador,EC005,https://www.choicehotels.com/ecuador/quito-pichincha/park-inn-hotels/ec005,reports/choice-amenity-html/ec005.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recUQrkSxWLn01s92,Comfort Hotel Fortaleza,Fortaleza,Brazil,BR010,https://www.choicehotels.com/ceara/fortaleza/comfort-inn-hotels/br010,reports/choice-amenity-html/br010.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recVCFNAE867smKyT,Comfort Hotel Ibirapuera,Sao Paulo,Brazil,BR050,https://www.choicehotels.com/sao-paulo/sao-paulo/comfort-inn-hotels/br050,reports/choice-amenity-html/br050.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recW9oKmmNs3gswgb,Hotel Faranda Bolivar Cucuta A Member Of Radisson Individuals,Cucuta,Colombia,CB010,https://www.choicehotels.com/colombia/cucuta/radisson-individuals-hotels/cb010,reports/choice-amenity-html/cb010.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recXsdIoD3FNG093n,Emotions All Inclusive Puerto Plata Ascend Hotel Collection,Puerto Plata,Dominican Republic,DO013,https://www.choicehotels.com/dominican-republic/playa-dorada/ascend-hotels/do013,reports/choice-amenity-html/do013.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recYq8Xdh6uHvdjsU,Radisson Hotel Santa Cruz,Santa Cruz de la Sierra,Bolivia,BO001,https://www.choicehotels.com/bolivia/santa-cruz-de-la-sierra/radisson-hotels/bo001,reports/choice-amenity-html/bo001.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recZI5mQ4c0lNhns5,Ascend Collection Roxborough,Roxborough,Trinidad and Tobago,TT006,https://www.choicehotels.com/trinidad-and-tobago/roxborough/ascend-hotels/tt006,reports/choice-amenity-html/tt006.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recak8mGBPSSEBswK,Quality Suites Vila Velha,Vila Velha,Brazil,BR036,https://www.choicehotels.com/espirito-santo/vila-velha/quality-inn-hotels/br036,reports/choice-amenity-html/br036.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recbl4EWE8dzSS0lO,Amberes 64 Ascend Hotel Collection,Mexico City,Mexico,MX228,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,reports/choice-amenity-html/mx228.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
reccUca5e2ucKq8gs,Quality Hotel Paulista Sao Paulo,Sao Paulo,Brazil,BR147,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br147,reports/choice-amenity-html/br147.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recchbmgK8qZTKQz3,Former Comfort Suites Macae,Macae,Brazil,BR075,https://www.choicehotels.com/rio-de-janeiro/macae/comfort-suites-hotels/br075,reports/choice-amenity-html/br075.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recdMIRgh88xccup0,Sleep Inn Paulinia,Paulinia,Brazil,BR150,https://www.choicehotels.com/sao-paulo/paulinia/sleep-inn-hotels/br150,reports/choice-amenity-html/br150.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recexALRJCnOkTBt1,Country Inn & Suites By Radisson San Jose Aeropuerto Costa Rica,San Jose,Costa Rica,CR022,https://www.choicehotels.com/costa-rica/san-jose-heredia/country-hotels/cr022,reports/choice-amenity-html/cr022.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recfJwzEQpnITOiLm,Quality Suites Vila Olimpia,Sao Paulo,Brazil,BR025,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br025,reports/choice-amenity-html/br025.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recguCs8MkHILsbxx,Comfort Suites Alphaville,Barueri,Brazil,BR024,https://www.choicehotels.com/sao-paulo/barueri/comfort-suites-hotels/br024,reports/choice-amenity-html/br024.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rech8GkDM3tYQfXph,Radisson by Choice Saltillo,Saltillo,Mexico,MX183,https://www.choicehotels.com/mexico/saltillo/radisson-hotels/mx183,reports/choice-amenity-html/mx183.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recjTNbfPSlClglNl,Sleep Inn Leon Antares,Leon,Mexico,MX176,https://www.choicehotels.com/guanajuato/leon/sleep-inn-hotels/mx176,reports/choice-amenity-html/mx176.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
reckVsfRC9Uu7gUUH,Comfort Hotel Bauru,Bauru,Brazil,BR114,https://www.choicehotels.com/sao-paulo/bauru/comfort-inn-hotels/br114,reports/choice-amenity-html/br114.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
reckaUB0TwG0Cb6wW,Manta Lodge Resort An Ascend Hotel Collection Member,Speyside,Trinidad and Tobago,TT008,https://www.choicehotels.com/trinidad-and-tobago/speyside/ascend-hotels/tt008,reports/choice-amenity-html/tt008.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
reclMDaf12SrNMDS9,El Cid Castilla Beach Hotel,Mazatlan,Mexico,MX164,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx164,reports/choice-amenity-html/mx164.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recljXyUE3I8sCoxc,El Cid El Moro Beach Hotel,Mazatlan,Mexico,MX165,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx165,reports/choice-amenity-html/mx165.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
reclz7kJwj8ingYtd,Radisson Hotel Guayaquil,Guayaquil,Ecuador,EC003,https://www.choicehotels.com/ecuador/guayaquil/radisson-hotels/ec003,reports/choice-amenity-html/ec003.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recnKqXBuizbOkD7D,Radisson Blu Plaza El Bosque Santiago,Santiago,Chile,CL012,https://www.choicehotels.com/chile/santiago/radisson-blu-hotels/cl012,reports/choice-amenity-html/cl012.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recnOOi1m9szzaCZO,Radisson Hotel Decapolis Miraflores,Miraflores,Peru,PE004,https://www.choicehotels.com/peru/miraflores/radisson-hotels/pe004,reports/choice-amenity-html/pe004.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recnRhbLv4aQUIT5e,Sleep Inn Paseo Las Damas,San Jose,Costa Rica,CR013,https://www.choicehotels.com/costa-rica/san-jose/sleep-inn-hotels/cr013,reports/choice-amenity-html/cr013.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
reco6dhOREJ8JyAfa,Comfort Inn Joinville,Joinville,Brazil,BR080,https://www.choicehotels.com/santa-catarina/joinville/comfort-inn-hotels/br080,reports/choice-amenity-html/br080.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recoJUXtur0QtOKhH,Radisson Hotel Colonia Del Sacramento,Colonia Del Sacramento,Uruguay,UY003,https://www.choicehotels.com/uruguay/colonia-del-sacramento/radisson-hotels/uy003,reports/choice-amenity-html/uy003.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Sao Joao Batista do Gloria,Brazil,BR179,https://www.choicehotels.com/minas-gerais/sao-joao-batista-do-gloria/comfort-inn-hotels/br179,reports/choice-amenity-html/br179.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recrPx45Dd2EMY3TH,Radisson Hotel Maiorana Belem,Belem,Brazil,BR155,https://www.choicehotels.com/para/belem/radisson-hotels/br155,reports/choice-amenity-html/br155.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recrq5oWLlU3I3Wdg,Quality Hotel Porto Alegre,Porto Alegre,Brazil,BR084,https://www.choicehotels.com/rio-grande-do-sul/porto-alegre/quality-inn-hotels/br084,reports/choice-amenity-html/br084.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recssgUodOjS9owNf,Quality Hotel Rio de Janeiro - Barra da Tijuca,Rio de Janeiro,Brazil,BR121,https://www.choicehotels.com/rio-de-janeiro/rio-de-janeiro/quality-inn-hotels/br121,reports/choice-amenity-html/br121.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recsyaMGAIQQuvOI3,Comfort Suites Vitoria,Vitoria,Brazil,BR115,https://www.choicehotels.com/espirito-santo/vitoria/comfort-suites-hotels/br115,reports/choice-amenity-html/br115.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recuPczqHC2srskUK,Quality Suites Alphaville,Barueri,Brazil,BR008,https://www.choicehotels.com/sao-paulo/barueri/quality-inn-hotels/br008,reports/choice-amenity-html/br008.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recv3ZtsBl2gDlDH6,Sleep Inn Ciudad De Mexico Cuajimalpa,Mexico City,Mexico,MX108,https://www.choicehotels.com/mexico/cuajimalpa-de-morelos/sleep-inn-hotels/mx108,reports/choice-amenity-html/mx108.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recvyJN4aD5Gh4yXJ,Quality Hotel Sao Caetano,Sao Caetano do Sul,Brazil,BR125,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/quality-inn-hotels/br125,reports/choice-amenity-html/br125.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recwGtRq733LfHvaH,Radisson Montevideo Victoria Plaza Hotel,Montevideo,Uruguay,UY004,https://www.choicehotels.com/uruguay/montevideo/radisson-hotels/uy004,reports/choice-amenity-html/uy004.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recwmqTUKqPmsjElm,Radisson San Jose-Costa Rica,San Jose,Costa Rica,CR025,https://www.choicehotels.com/costa-rica/san-jose/radisson-hotels/cr025,reports/choice-amenity-html/cr025.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recwrzq0Sq9wUqx42,Comfort Inn Ciudad Juarez,Ciudad Juarez,Mexico,MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,reports/choice-amenity-html/mx109.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recyL5evuY45rEV6E,Comfort Inn San Luis Potosi,San Luis Potosi,Mexico,MX089,https://www.choicehotels.com/san-luis-potosi/san-luis-potosi/comfort-inn-hotels/mx089,reports/choice-amenity-html/mx089.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recywhDndKbSG8pjY,Radisson RED Funes,Funes,Argentina,aa024,https://www.choicehotels.com/argentina/rosario/radisson-red-hotels/aa024,reports/choice-amenity-html/aa024.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
