airtable_table,airtable_field,airtable_type,used_by_writer_current,used_by_reader_current,used_in_operator_explorer_current,used_in_capability_snapshot_current,used_in_alignment_snapshot_current,used_in_score_breakdown_current,usage_classification,missing_source_of_truth_mapping_risk,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Profile & Positioning,esgReporting,singleSelect,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,carbonTracking,singleSelect,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,energyEfficiency,multilineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,wasteReduction,multilineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_bestat_1_headline,singleLineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_bestat_1_story,multilineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_bestat_2_headline,singleLineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_bestat_2_story,multilineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_bestat_3_headline,singleLineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_bestat_3_story,multilineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_why_1_headline,singleLineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_why_1_story,multilineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_why_2_headline,singleLineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_why_2_story,multilineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_why_3_headline,singleLineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_why_3_story,multilineText,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_signal_1_value,singleLineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_signal_2_value,singleLineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_signal_3_value,singleLineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_narrative_compliance,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_narrative_relationship,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_audit,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_reflag,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_franchise_align,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_soft_retention,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,figuresAsOf,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,capitalStatus,multipleSelects,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,yearEstablished,number,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,yearsInBusiness,number,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,numberOfBrands,number,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,locationTypeResort,number,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,locationTypeAirport,number,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,marketExpansionRampTimeMonths,number,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,readyForInvestorPublication,checkbox,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,company_name,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes/Partial,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_profile_operational,multilineText,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,Operator,multipleRecordLinks,Yes,Yes,Yes,Yes/Partial,Yes/Partial,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_kpi_operating_model,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_kpi_execution_strength,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_kpi_transition,singleSelect,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_kpi_reporting,singleSelect,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_profile_commercial,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_profile_transition,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_asset_positioning,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_service_diff,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_execution_rel,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_card_governance,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_deep_revenue_systems,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_deep_execution_infra,multilineText,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_signal_budget,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_signal_lift,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,cap_signal_trans,singleSelect,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_na_existing_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_na_existing_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_na_pipeline_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_na_pipeline_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_na_total_hotels,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_na_total_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_cala_existing_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_cala_existing_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_cala_pipeline_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_cala_pipeline_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_cala_total_hotels,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_cala_total_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_eu_existing_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_eu_existing_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_eu_pipeline_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_eu_pipeline_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_eu_total_hotels,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_eu_total_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_mea_existing_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_mea_existing_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_mea_pipeline_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_mea_pipeline_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_mea_total_hotels,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_mea_total_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_apac_existing_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_apac_existing_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_apac_pipeline_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_apac_pipeline_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_apac_total_hotels,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_apac_total_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_total_existing_hotels,singleLineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_total_existing_rooms,singleLineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_total_pipeline_hotels,singleLineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_total_pipeline_rooms,singleLineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_total_total_hotels,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,geo_total_total_rooms,singleLineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,numberOfMarkets,number,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Platform & Markets,specificMarkets,multilineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
