censusRecordId,censusName,censusCity,censusCountry,propertyId,propertyUrl,htmlFile,instructions
rec8VbiatJup4g2ZI,Radisson Hotel Puerto Varas,Puerto Varas,Chile,CL013,https://www.choicehotels.com/chile/puerto-varas/radisson-hotels/cl013,reports/choice-amenity-html/cl013.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec99PlN1Z4j0pSZj,Radisson Hotel & Convention Center Toluca,Toluca,Mexico,MX185,https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,reports/choice-amenity-html/mx185.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recB0sjy8eQbw7IkO,"Radisson Hotel Sao Paulo, Pinheiros",São Paulo,Brazil,BR183,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br183,reports/choice-amenity-html/br183.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Saltillo,Mexico,MX070,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,reports/choice-amenity-html/mx070.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Taguatinga,Brazil,BR073,https://www.choicehotels.com/distrito-federal/taguatinga/comfort-inn-hotels/br073,reports/choice-amenity-html/br073.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,São José do Rio Preto,Brazil,BR090,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,reports/choice-amenity-html/br090.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recCFOVKqiBIfxfu5,Clarion Hotel Faria Lima,Sao Paulo,Brazil,BR013,https://www.choicehotels.com/sao-paulo/sao-paulo/clarion-hotels/br013,reports/choice-amenity-html/br013.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recCZqZoIfrf7MKAZ,Quality Hotel Aracaju,Aracaju,Brazil,BR069,https://www.choicehotels.com/sergipe/aracaju/quality-inn-hotels/br069,reports/choice-amenity-html/br069.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recDLgo6qnMMm44Kr,Radisson Hotel Barra Rio De Janeiro,Rio de Janeiro,Brazil,BR153,https://www.choicehotels.com/rio-de-janeiro/barra-de-tijuca/radisson-hotels/br153,reports/choice-amenity-html/br153.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mazatlan,Mexico,MX166,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,reports/choice-amenity-html/mx166.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
