portfolioConfidence,outreachSafe,ownerName,ownerTargetId,outreachReady,contactName,calaPropertyCount,pitchEligibleCount,operatorMatchRate,flags,leadPitchAsset,outreachGuidance,operatorsSummary,countriesSummary
medium,true,Karisma Hotels & Resorts,recZuJQx4Qu2HfNTA,true,Miguel Ortiz Millán,6,6,0,"junk_building_names,low_operator_alignment",Margaritaville Island Reserve Resort Riviera Maya — Cuautla — Mexico,Use lead asset only until operator/entity alignment is confirmed.,Premier Worldwide Marketing; The Ambergris Grand Ltd,Mexico; Dominican Republic; Belize; Jamaica
medium,true,"Owner 1: Varde Partners, Inc. | Owner 2: Flynn Properties, Inc.",recLIxoxTGmeX68k3,true,Greg Flynn,2,2,0,"compound_owner_string,opaque_spv_name,low_operator_alignment","Chileno Bay Resort & Residences, Auberge Collection — Cabo San Lucas — Mexico",Use lead asset only until operator/entity alignment is confirmed.,"Auberge Resorts, LLC",Mexico
medium,true,"Park Mizgal, S.C.",reci3ZmfMFUZ1pSZv,true,Isaac Mizrahi,3,3,0,"low_operator_alignment,possible_rollup_noise",Sunscape Dorado Pacifico Ixtapa — Ixtapa Zihuatanejo — Mexico,Sunscape Ixtapa fits family owner story; ibis Tlalnepantla/Mérida may be CoStar rollup — verify asset-by-asset.,Accor North America; Apple Leisure Group,Mexico
medium,true,Pulso Inmobiliario,recAVowHQBqSoRLAD,true,Salomón Kamkhaji Ambe,8,8,0,low_operator_alignment,Secrets Vallarta Bay Puerto Vallarta — Puerto Vallarta — Mexico,Use lead asset only until operator/entity alignment is confirmed.,Apple Leisure Group; Medano Services Resorts Sapi De Cv,Mexico
medium,true,Tortuga Resorts,recTKF1JCEHQAQsJz,true,Gerardo Valdes,13,13,0,low_operator_alignment,Hilton Cancun Mar Caribe All-Inclusive Resort — Cancun — Mexico,Use lead asset only until operator/entity alignment is confirmed.,Hilton Worldwide; Hyatt Corporation; Apple Leisure Group,Mexico; Dominican Republic
medium,true,Urbanova,recWTadBfFfJApe7E,true,Giacomo Sissa,9,9,0,low_operator_alignment,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado — Urubamba — Peru",Use lead asset only until operator/entity alignment is confirmed.,Highgate Hotels L.P.; Marriott International,Peru
high,true,American Hotels Group,rec4b66hLbLaZHRzW,true,Karim Saade Charur,4,4,1,,voco Saltillo Suites — Saltillo — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,American Hotels Group,Mexico
high,true,Atlantica Hotels International (Brasil) Ltda.,reclOrY2Fs1jR02rR,true,Eduardo Giestas,27,27,1,,Comfort Hotel Fortaleza — Fortaleza — Brazil,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Atlantica Hotels International (Brasil) Ltda.,Brazil
high,true,Barcelo Gestion Hotelera S.L.,recz4sXU8JnsGFHiA,true,Simón Pedro Barceló Vadell,36,14,1,,Allegro Cozumel — Cozumel — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Barcelo Gestion Hotelera S.L.,Cuba; Mexico; Costa Rica; El Salvador; Nicaragua; Dominican Republic; Guatemala; Aruba
high,true,Bern Hotels & Resorts,recJlfkYk1y3y6JSq,true,Herman Bern,9,9,0.89,junk_building_names,Holiday Inn Panama Canal — Panamá — Panama,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Bern Hotels & Resorts; Apple Leisure Group,Panama
high,true,Brookfield Hotel Properties,recBCN1jKV8CePfkB,true,Shai Zelering,4,4,1,,The Reef at Atlantis — Paradise — Bahamas,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,"Brookfield Hospitality Properties, LLC",Bahamas
high,true,Collective Hospitality,reciq7qhAvwqG4ypR,true,Gerardo Valdes Mingramm,7,7,0.86,,Socialtel Granada — Nicaragua,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Collective Hospitality; The Grid Hotels SA,Nicaragua; Colombia; Brazil; Costa Rica; Peru
high,true,Enchanting Hotels,rec7Uo5603XHmCEkp,true,Daniel Chavarria,11,11,1,,Cristal Ballena Boutique Hotel & Spa — Costa Rica,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Enchanting Hotels,Costa Rica
high,true,Faranda Hotels & Resorts,recCKrjSiAYwBdCXf,true,Carlos Francisco Fernández Hoyos,18,18,1,junk_building_names,"Hotel Casa La Factoria by Faranda Boutique, a member of Radisson Individuals — Cartagena — Colombia",CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Faranda Hotels & Resorts; Faranda Panama,Colombia; Mexico; Panama; Venezuela; Costa Rica
high,true,Fibra Inn,recAUCruVYqMveIob,true,Jaime Cohen Bistre,28,28,0.93,junk_building_names,Marriott Puebla Hotel Meson del Angel — Puebla — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Fibra Inn; Aimbridge LATAM,Mexico
high,true,GHL Hoteles,recVmFmZiPf1hbjKk,true,Andrés Fajardo,17,17,1,,Sheraton Guayaquil Hotel — Guayaquil — Ecuador,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,GHL Hoteles,Ecuador; Colombia; Chile; Peru
high,true,Grace Bay Resorts,recwHuwBL0D1SMZlX,true,Mark Durliat,5,5,1,,Rock House — Caicos Islands,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grace Bay Resorts,Caicos Islands
high,true,Grupo Brisas,recQuN5nPOH8KTIVo,true,Antonio Cosío Pando,11,11,1,,Galeria Plaza Veracruz — Boca del Río — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grupo Brisas,Mexico
high,true,Grupo de Turismo Gaviota,reciJI4TdNqg0Jxbw,true,Carlos Latuff,48,48,0.85,"junk_building_names,many_distinct_operators",Villa Maguana — Cuba,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,"Grupo de Turismo Gaviota; Kempinski Hotels S.A.; Roc Hotels Cuba; Axel Corporation Grupo Hotelero, S.L.; MGM Hotels & Resorts; Valentin Gestion, S.L.",Cuba
high,true,Grupo Diestra,rec2apz3Jmyaawn2e,true,Jorge Paoli Díaz,8,8,1,,Tijuana Marriott Hotel — Tijuana — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grupo Diestra,Mexico
high,true,Grupo Hotelero Santa Fe,recDeYsszad5tebiJ,true,Enrique Martínez Guerrero,16,16,0.94,,Krystal Beach Acapulco Hotel — Acapulco — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grupo Hotelero Santa Fe; Apple Leisure Group,Mexico
high,true,Grupo Marta,recOtN7YOnT2HctUt,true,Daisy Puig,4,4,1,,Best Western Jaco Beach All Inclusive Resort — Jaco — Costa Rica,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grupo Marta,Costa Rica
high,true,"Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,true,José Carlos Azcárraga Andrade,44,44,1,junk_building_names,One Ciudad De Mexico Alameda — Mexico City — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,"Grupo Posadas, S.A.B. DE C.V.",Mexico
high,true,Grupo Presidente,recYLqAS0TKCGTfW9,true,Braulio Asrsuaga Losada,7,7,1,,InterContinental Presidente Cozumel Resort Spa — Cozumel — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grupo Presidente,Mexico
high,true,Grupo RT,recTXUadeXOARBEMf,true,Zeynep Kocacal,1,1,1,,Hotel Hacienda Cocoyoc — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Grupo RT,Mexico
high,true,Hodelpa Hotels,recgYY2ewSAPx5OFP,true,Angel Hernandez Rojas,8,8,1,,"Emotions All Inclusive Puerto Plata, Ascend Hotel Collection — Puerto Plata — Dominican Republic",CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Hodelpa Hotels,Dominican Republic
high,true,Hoteles Costa del Sol,recmxErtgc9a37gEO,true,Mario Mustafá Aguinaga,8,8,1,,Wyndham Costa Del Sol Cusco — Cusco — Peru,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Hoteles Costa del Sol,Peru
high,true,Hoteles MX,recrPNYIp7p9MIE4A,true,Eduardo Sánchez Moreno,8,8,0.88,,"Hotel Estancias VIVE MX el marques Queretaro, Trademark — Santiago de Querétaro — Mexico",CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Hoteles MX; Grupo MX,Mexico
high,true,Inmobiliaria Turistica Delta SA de CV,recXZOo4NiejmVB7P,true,Pedro Pina,1,1,1,,Hotel Argento Zacatecas — Zacatecas — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Inmobiliaria Turistica Delta SA de CV,Mexico
high,true,Irawadi Corp S.A.,recHOIk9MWXBw8B5b,true,Philipp Hofer,13,13,1,,Hard Rock Hotel Los Cabos — Cabo San Lucas — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Irawadi Corp S.A.,Mexico; Dominican Republic
high,true,Landstar Hotels,recSjstmuIoxBF1aS,true,Alberto Hernandez De Santiago,3,3,1,,Gamma Ciudad Juarez — Juarez — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Landstar Hotels,Mexico
high,true,Lifestyle Holidays Vacation Club,recQ9HYb8SzzwUWea,true,Markus Wischenbart,3,3,1,,Cofresi Palm Beach & Spa Resort — Puerto Plata — Dominican Republic,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Lifestyle Holidays Vacation Club,Dominican Republic
high,true,Milenium Grupo Hotelero Mexicano,reccx0o3NksaKzp6M,true,Marcelo Guajardo Ruz,15,15,1,,Holiday Inn Monterrey-Parque Fundidora — Monterrey — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Milenium Grupo Hotelero Mexicano,Mexico
high,true,Norte 19,recIG2IXhZFZG8IrC,true,Alberto Granados,142,142,0.99,junk_building_names,City Express by Marriott Tula — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Norte 19; EASTTON Operadora; Click Efficiency,Mexico; Colombia; Costa Rica; Chile
high,true,Oasis Hotels and Resorts,rec525jqrXijwE3IA,true,Jean Agarrista,3,3,0.67,,The Grand Oasis Cancun — Cancun — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Oasis Hotels and Resorts; Apple Leisure Group,Mexico
high,true,Optima Hoteles de Mexico,recAnSDcnHjNMo1oN,true,Enrique Orozco Nava,6,6,1,,Wyndham Garden Monterrey Airport — Apodaca — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Optima Hoteles de Mexico,Mexico
high,true,Palladium Hotel Group,recYdWz22zuxBqXVf,true,Raul Benito,14,3,1,,TRS Turquesa Hotel — Punta Cana — Dominican Republic,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Palladium Hotel Group,Dominican Republic; Mexico; Brazil; Jamaica
high,true,Pueblo Bonito Hotels and Resorts,recqSfJ5OGVw9NdD1,true,Alberto Ernesto Coppel,9,9,1,,Pueblo Bonito Vantage San Miguel de Allende — San Miguel de Allende — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Pueblo Bonito Hotels and Resorts,Mexico
high,true,Riu Hotels & Resorts,recikKw2HW21znRUp,true,Luis Riu Güell,32,32,1,junk_building_names,Hotel RIU Plaza Guadalajara — Guadalajara — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Riu Hotels & Resorts,Mexico; Jamaica; Costa Rica; Dominican Republic; Panama; Aruba; Bahamas
high,true,Royalton Hotels & Resorts,reciCLtenXkoktzzB,true,Jordi Pelfort,19,19,1,,"Royalton CHIC Punta Cana, An Autograph Collection All-Inclusive Resort & Casino - Adults Only — Punta Cana — Dominican Republic",CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Royalton Hotels & Resorts,Dominican Republic; Saint Lucia; Grenada; Mexico; Antigua and Barbuda; Costa Rica; Jamaica; Barbados
high,true,The Excellence Collection,recumzko8MYdukrXC,true,Domingo Aznar,9,9,1,,Beloved Playa Mujeres — Cancun — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,The Excellence Collection,Mexico; Dominican Republic; Jamaica
high,true,Velas Resorts,rec5NwZfYr6SJzdoT,true,Juan Vela Ruiz,7,7,1,,Grand Velas Riviera Nayarit — Nuevo Vallarta — Mexico,CoStar portfolio aligns with operator fields — safe to reference portfolio in intro.,Velas Resorts,Mexico
