operatorId,company,table,field,action,before,after
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","profile","chainScalesSupported","skip_existing","[""Upper Midscale"",""Midscale"",""Upscale""]","[""Upper Midscale"",""Midscale"",""Upscale""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","profile","Brand Families Operated","set","","[""Independent"",""Soft brands / collections""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","platform","Market Presence Type","set","","[""Active operations""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","commercial","Management Structures Supported","set","","[""Full third-party management"",""Hybrid / project-specific""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","commercial","New-Build Opening Experience","set","","""Moderate"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","commercial","Pre-Opening Support Capability","set","","""Limited"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","governance","Offered Services","set","","[""Full hotel management"",""Revenue management"",""Sales"",""F&B operations"",""Brand compliance support"",""Owner reporting"",""HR / staffing"",""Procurement""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","governance","Owner Reporting Level","set","","""Monthly operating review"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","governance","F&B Capability Level","set","","""Significant F&B"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","governance","Revenue Management Capability","set","","""Centralized support"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","governance","Sales Platform","set","","[""Local sales"",""Group sales""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","governance","Governance Cadence","set","","""Quarterly"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","master","Data Confidence Level","set","","""Inferred"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","master","Source Type","set","","[""Imported sample data""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","master","Last Updated Date","set","","""2026-05-25"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","profile","Service Models Supported","set","","[""Full-service"",""Boutique""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","profile","chainScalesSupported","skip_existing","[""Upper Upscale"",""Luxury"",""Upscale"",""Upper Midscale""]","[""Upper Upscale"",""Luxury"",""Upscale"",""Upper Midscale""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","profile","Brand Families Operated","set","","[""Marriott"",""Hilton"",""Accor""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","platform","Market Presence Type","set","","[""Active operations""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","commercial","Management Structures Supported","set","","[""Full third-party management"",""Asset management support""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","commercial","New-Build Opening Experience","set","","""Moderate"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","commercial","Pre-Opening Support Capability","set","","""Standard"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","governance","Offered Services","set","","[""Full hotel management"",""Revenue management"",""Sales"",""Brand compliance support"",""Owner reporting"",""Asset management support"",""Accounting / finance""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","governance","Owner Reporting Level","set","","""Institutional reporting"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","governance","F&B Capability Level","set","","""Moderate F&B"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","governance","Revenue Management Capability","set","","""Advanced centralized platform"""
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","governance","Sales Platform","set","","[""Global sales support"",""Group sales""]"
"recbT3q8ApRIBu4j5","Panamerican Lodging Partners S.A.","governance","Governance Cadence","set","","""Asset-management style"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","master","Data Confidence Level","set","","""Inferred"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","master","Source Type","set","","[""Imported sample data""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","master","Last Updated Date","set","","""2026-05-25"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","profile","Service Models Supported","set","","[""Full-service"",""Boutique""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","profile","chainScalesSupported","skip_existing","[""Upscale"",""Upper Upscale"",""Midscale""]","[""Upscale"",""Upper Upscale"",""Midscale""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","profile","Brand Families Operated","set","","[""Independent""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","platform","Market Presence Type","set","","[""Active operations""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","commercial","Management Structures Supported","set","","[""Full third-party management"",""Hybrid / project-specific""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","commercial","New-Build Opening Experience","set","","""Limited"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","commercial","Pre-Opening Support Capability","set","","""Limited"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","governance","Offered Services","set","","[""Full hotel management"",""Revenue management"",""Sales"",""Brand compliance support"",""Owner reporting"",""Accounting / finance""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","governance","Owner Reporting Level","set","","""Monthly operating review"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","governance","F&B Capability Level","set","","""Moderate F&B"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","governance","Revenue Management Capability","set","","""Property-level only"""
"reckO98E46sKTn3F3","Río Plata Hotel Partners","governance","Sales Platform","set","","[""Local sales"",""Regional sales""]"
"reckO98E46sKTn3F3","Río Plata Hotel Partners","governance","Governance Cadence","set","","""Monthly"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","master","Data Confidence Level","set","","""Inferred"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","master","Source Type","set","","[""Imported sample data""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","master","Last Updated Date","set","","""2026-05-25"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","profile","Service Models Supported","set","","[""Select-service"",""Focused-service""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","profile","chainScalesSupported","skip_existing","[""Midscale"",""Economy"",""Upper Midscale""]","[""Midscale"",""Economy"",""Upper Midscale""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","profile","Brand Families Operated","set","","[""Independent""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","platform","Market Presence Type","set","","[""Active operations""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","commercial","Management Structures Supported","set","","[""Full third-party management"",""Franchise support"",""Pre-opening / transition support""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","commercial","New-Build Opening Experience","set","","""Strong"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","commercial","Pre-Opening Support Capability","set","","""Advanced"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","governance","Offered Services","set","","[""Full hotel management"",""Pre-opening planning"",""Opening / transition support"",""Revenue management"",""Sales"",""Distribution / channel management"",""Brand compliance support"",""Owner reporting"",""HR / staffing""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","governance","Owner Reporting Level","set","","""Monthly operating review"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","governance","F&B Capability Level","set","","""Limited F&B"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","governance","Revenue Management Capability","set","","""Centralized support"""
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","governance","Sales Platform","set","","[""Regional sales"",""Digital / e-commerce""]"
"recq3NiRxOerg4kZU","Barrio Hotelero CDMX","governance","Governance Cadence","set","","""Monthly"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","master","Data Confidence Level","set","","""Inferred"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","master","Source Type","set","","[""Imported sample data""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","master","Last Updated Date","set","","""2026-05-25"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","profile","Service Models Supported","set","","[""Select-service"",""Full-service""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","profile","chainScalesSupported","skip_existing","[""Midscale"",""Upper Midscale"",""Upscale""]","[""Midscale"",""Upper Midscale"",""Upscale""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","profile","Brand Families Operated","set","","[""Choice"",""IHG""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","platform","Market Presence Type","set","","[""Active operations""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","commercial","Management Structures Supported","set","","[""Full third-party management"",""Pre-opening / transition support"",""Commercial-only support""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","commercial","New-Build Opening Experience","set","","""Moderate"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","commercial","Pre-Opening Support Capability","set","","""Standard"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","governance","Offered Services","set","","[""Full hotel management"",""Pre-opening planning"",""Revenue management"",""Sales"",""Owner reporting"",""Procurement"",""Technical services coordination""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","governance","Owner Reporting Level","set","","""Monthly operating review"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","governance","F&B Capability Level","set","","""Limited F&B"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","governance","Revenue Management Capability","set","","""Centralized support"""
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","governance","Sales Platform","set","","[""Regional sales"",""Digital / e-commerce""]"
"recwbyY4qfNP1bV3r","Metro Lodging São Paulo","governance","Governance Cadence","set","","""Monthly"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","master","Data Confidence Level","set","","""Inferred"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","master","Source Type","set","","[""Imported sample data""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","master","Last Updated Date","set","","""2026-05-25"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","profile","Service Models Supported","set","","[""Resort"",""Lifestyle"",""Select-service""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","profile","chainScalesSupported","skip_existing","[""Upscale"",""Upper Upscale"",""Luxury""]","[""Upscale"",""Upper Upscale"",""Luxury""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","profile","Brand Families Operated","set","","[""Independent"",""Wyndham""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","platform","Market Presence Type","set","","[""Active operations""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","commercial","Management Structures Supported","set","","[""Full third-party management"",""Franchise support"",""Pre-opening / transition support""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","commercial","New-Build Opening Experience","set","","""Strong"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","commercial","Pre-Opening Support Capability","set","","""Standard"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","governance","Offered Services","set","","[""Full hotel management"",""Pre-opening planning"",""Opening / transition support"",""Revenue management"",""Sales"",""Brand compliance support"",""Owner reporting"",""F&B operations""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","governance","Owner Reporting Level","set","","""Monthly operating review"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","governance","F&B Capability Level","set","","""Moderate F&B"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","governance","Revenue Management Capability","set","","""Centralized support"""
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","governance","Sales Platform","set","","[""Regional sales"",""Group sales""]"
"recxAa86Qoc0nFRSt","Oro Verde Lodge & Hotel Operators","governance","Governance Cadence","set","","""Monthly"""
