Airtable Table,Airtable Field,Airtable Field Type,Live Options,Static Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Source File(s),Needed For OAS?,Needed For Operator Explorer?,Needed For Operator Strategy?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Profile & Positioning,companySize,singleSelect,,companySize,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,companyTagline,singleLineText,,companyTagline,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,companyHistory,multilineText,,companyHistory,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,differentiators,multilineText,,differentiators,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,managementPhilosophy,multilineText,,managementPhilosophy,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,missionStatement,multilineText,,missionStatement,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,primaryServiceModel,singleSelect,,primaryServiceModel,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,brands,multipleRecordLinks,,brands,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,additionalBrands,multilineText,,additionalBrands,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,chainScalesSupported,multipleSelects,,chainScalesSupported,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,companyLogo,multipleAttachments,,companyLogo,No,No,No,Yes,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,propertyTypes,multipleSelects,,propertyTypes,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Profile & Positioning,additionalExperience,multipleSelects,,additionalExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,emergencyResponse,singleSelect,,emergencyResponse,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,businessContinuity,singleSelect,,businessContinuity,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,support24x7,singleSelect,,support24x7,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,crisisExperience,multilineText,,crisisExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,insuranceCoverage,multilineText,,insuranceCoverage,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,sustainabilityPrograms,singleSelect,,sustainabilityPrograms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,esgReporting,singleSelect,,esgReporting,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,carbonTracking,singleSelect,,carbonTracking,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,energyEfficiency,multilineText,,energyEfficiency,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,wasteReduction,multilineText,,wasteReduction,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_bestat_1_headline,singleLineText,,overview_bestat_1_headline,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_bestat_1_story,multilineText,,overview_bestat_1_story,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_bestat_2_headline,singleLineText,,overview_bestat_2_headline,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_bestat_2_story,multilineText,,overview_bestat_2_story,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_bestat_3_headline,singleLineText,,overview_bestat_3_headline,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_bestat_3_story,multilineText,,overview_bestat_3_story,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_why_1_headline,singleLineText,,overview_why_1_headline,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_why_1_story,multilineText,,overview_why_1_story,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_why_2_headline,singleLineText,,overview_why_2_headline,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_why_2_story,multilineText,,overview_why_2_story,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_why_3_headline,singleLineText,,overview_why_3_headline,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_why_3_story,multilineText,,overview_why_3_story,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_signal_1_value,singleLineText,,overview_signal_1_value,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_signal_2_value,singleLineText,,overview_signal_2_value,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,overview_signal_3_value,singleLineText,,overview_signal_3_value,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,brand_narrative_compliance,multilineText,,brand_narrative_compliance,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,brand_narrative_relationship,multilineText,,brand_narrative_relationship,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,brand_signal_audit,singleSelect,Not Measured / N/A | Below 85% | 85–89% | 90–94% | 95–98% | 99%+,brand_signal_audit,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,brand_signal_reflag,singleSelect,Not Measured / N/A | Under 4 Weeks | 4–8 Weeks | 8–12 Weeks | 12–16 Weeks | 16–24 Weeks | 24+ Weeks,brand_signal_reflag,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,brand_signal_franchise_align,singleSelect,Not Measured / N/A | Emerging | Low | Medium | Moderate-High | High | Strong | Very Strong,brand_signal_franchise_align,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,brand_signal_soft_retention,singleSelect,Not Measured / N/A | Below 80% | 80–84% | 85–89% | 90–94% | 95%+,brand_signal_soft_retention,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,figuresAsOf,singleLineText,,figuresAsOf,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,capitalStatus,multipleSelects,,capitalStatus,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,yearEstablished,number,,yearEstablished,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,yearsInBusiness,number,,yearsInBusiness,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,numberOfBrands,number,,numberOfBrands,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,locationTypeResort,number,,locationTypeResort,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,locationTypeAirport,number,,locationTypeAirport,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,marketExpansionRampTimeMonths,number,,marketExpansionRampTimeMonths,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Profile & Positioning,readyForInvestorPublication,checkbox,,readyForInvestorPublication,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,company_name,singleLineText,,companyName,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_profile_operational,multilineText,,cap_profile_operational,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,Operator,multipleRecordLinks,,,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json,No,No,No,Fully Covered,Low,System/link field — no UI required
Operator Setup - Platform & Markets,cap_kpi_operating_model,singleSelect,Not Measured / N/A | Hybrid Platform | Full-Service Institutional Operator | Select- and Limited-Service Focus | Resort and Lifestyle Specialist | Urban and Gateway Market Focus | Mixed Branded and Independent Portfolio | Conversion and Transition Specialist | Regional Hub with Local Pods | Owner-Aligned Partnership Model,cap_kpi_operating_model,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_kpi_execution_strength,singleSelect,Not Measured / N/A | Emerging | Developing | Proven | Institutional,cap_kpi_execution_strength,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_kpi_transition,singleSelect,Not Measured / N/A | Low | Moderate | Strong | Very Strong,cap_kpi_transition,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_kpi_reporting,singleSelect,Not Measured / N/A | Basic | Structured | Advanced | Institutional,cap_kpi_reporting,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_profile_commercial,multilineText,,cap_profile_commercial,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_profile_transition,multilineText,,cap_profile_transition,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_card_asset_positioning,multilineText,,cap_card_asset_positioning,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_card_service_diff,multilineText,,cap_card_service_diff,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_card_execution_rel,multilineText,,cap_card_execution_rel,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_card_governance,multilineText,,cap_card_governance,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_deep_revenue_systems,multilineText,,cap_deep_revenue_systems,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_deep_execution_infra,multilineText,,cap_deep_execution_infra,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_signal_budget,singleSelect,Not Measured / N/A | Within ±1% | Within ±2% | Within ±3% | Within ±3.5% | Within ±5% | Greater than ±5% | In line with budget (qualitative),cap_signal_budget,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_signal_lift,singleSelect,Not Measured / N/A | 0–30 days | 31–60 days | 61–90 days | 91–120 days | 121–180 days | 181–365 days | More than 12 months | Varies materially by asset type,cap_signal_lift,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,cap_signal_trans,singleSelect,Not Measured / N/A | 95% or higher | 90–94% | 80–89% | 70–79% | Below 70%,cap_signal_trans,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,geo_na_existing_hotels,singleLineText,,geo_na_existing_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_na_existing_rooms,singleLineText,,geo_na_existing_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_na_pipeline_hotels,singleLineText,,geo_na_pipeline_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_na_pipeline_rooms,singleLineText,,geo_na_pipeline_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_na_total_hotels,singleLineText,,geo_na_total_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_na_total_rooms,singleLineText,,geo_na_total_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_cala_existing_hotels,singleLineText,,geo_cala_existing_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_cala_existing_rooms,singleLineText,,geo_cala_existing_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_cala_pipeline_hotels,singleLineText,,geo_cala_pipeline_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
