sourceRecordId,rawHotelName,qualityTier,qualityScore,matchConfidence,matchRecommendedAction,wouldWrite
node/597453526,Hostal Nicolas De Ovando,medium,55,low,needs_research,yes
node/597456591,Hodelpa Novus Plaza,medium,55,high,likely_existing,yes
node/635204441,Club Med,medium,65,medium,likely_existing,yes
node/711144134,Ecocampo La Sangría,medium,55,none,likely_new_candidate,yes
node/735974664,Tierra Plana Hostal,medium,55,none,likely_new_candidate,yes
node/862661684,Hotel La Mansion,medium,55,low,needs_research,yes
node/928315117,Apartahotel Drake,medium,55,none,likely_new_candidate,yes
node/988991741,Costa Las Ballenas,medium,55,none,likely_new_candidate,yes
node/989009324,Acaya,medium,55,none,likely_new_candidate,yes
node/1069945606,Hotel Atarazana,high,85,none,likely_new_candidate,yes
node/1188149592,Hotel Pinar Dorado,medium,55,high,likely_existing,yes
node/1207422127,Be Live Grand Marien Hotel,medium,55,none,likely_new_candidate,yes
node/1234382123,Emotion By Hodelpa.,medium,55,none,likely_new_candidate,yes
node/1238948840,hotel arcardo,medium,55,none,likely_new_candidate,yes
node/1238959353,"ALJIBE CAFE, Cocktail",medium,55,none,likely_new_candidate,yes
node/1249539089,Hotel Salinas,medium,65,none,likely_new_candidate,yes
node/1249982946,Ocean resort,medium,55,none,likely_new_candidate,yes
node/1259953316,Hotel Playazul,medium,55,none,likely_new_candidate,yes
node/1259992880,Hotel Casablanca,high,80,none,likely_new_candidate,yes
node/1259992888,Hotel Quemaito,medium,55,none,likely_new_candidate,yes
node/1391142503,terra linda,medium,55,none,likely_new_candidate,yes
node/1391142506,Casa Valeria,medium,55,none,likely_new_candidate,yes
node/1391142519,Hotel Orchidee,high,70,none,likely_new_candidate,yes
node/1391142522,New Garden,medium,55,none,likely_new_candidate,yes
node/1405141122,Lifestyle Holidays Vacation Club,medium,55,none,likely_new_candidate,yes
node/1414756925,Aventura,high,75,none,likely_new_candidate,yes
node/1454279355,Aladino,medium,55,none,likely_new_candidate,yes
node/1600567851,Hotel,medium,55,medium,likely_existing,yes
node/1635256169,Coconut Palms Resort,medium,55,none,likely_new_candidate,yes
node/1643715292,Eva Luna,medium,55,none,likely_new_candidate,yes
node/1650284822,Hotel Palapa,high,70,none,likely_new_candidate,yes
node/1739578195,Hotel Las Caobas,medium,55,none,likely_new_candidate,yes
node/1745039683,Aparta Hotel Plaza del Sol,medium,55,none,likely_new_candidate,yes
node/1825887426,Sivory Punta Cana,medium,55,medium,likely_existing,yes
node/1837180673,Hotel Dilenia,medium,55,none,likely_new_candidate,yes
node/1837180781,Hotel Colinas del Valle,medium,55,none,likely_new_candidate,yes
node/1837226525,Hote Mi Casa,medium,55,none,likely_new_candidate,yes
node/1846307890,Hotel Vista del Valle,medium,55,none,likely_new_candidate,yes
node/1853487108,AltoCerro,medium,55,none,likely_new_candidate,yes
node/1857882814,Rancho Wendy,medium,55,none,likely_new_candidate,yes
node/1869448927,Rancho Guaraguao,medium,55,none,likely_new_candidate,yes
node/1869448950,Rancho Guaraguao,medium,55,none,likely_new_candidate,yes
node/1882822690,Hostal Condo Parque,medium,55,none,likely_new_candidate,yes
node/1888636757,Las Canas,medium,55,none,likely_new_candidate,yes
node/1923936533,Habitaciones Don Pedro,medium,55,none,likely_new_candidate,yes
node/1923964921,Fior Di Loto,medium,55,none,likely_new_candidate,yes
node/1982167840,Hotel Piedra Marron,medium,55,none,likely_new_candidate,yes
node/2020735712,Hotel Gran Jimenoa,medium,55,high,likely_existing,yes
node/2088794004,Casa Cosón,medium,55,none,likely_new_candidate,yes
node/2099118549,Hotel Coco Plaza,medium,55,none,likely_new_candidate,yes
node/2100292687,Hotel Rancho La Cueva,medium,55,none,likely_new_candidate,yes
node/2101999280,Hotel San Ramon,high,85,none,likely_new_candidate,yes
node/2106184527,Hard Rock Hotel & Casino Punta Cana - All inclusive,high,100,medium,likely_existing,yes
node/2106239024,Hostal Kevin,medium,55,none,likely_new_candidate,yes
node/2110576737,Casa de Campo,medium,55,low,needs_research,yes
node/2172701438,Casa Bonita,high,70,none,likely_new_candidate,yes
node/2175061135,Hotel San Jose,medium,55,none,likely_new_candidate,yes
node/2175099044,Hotel Santa Clara,medium,55,none,likely_new_candidate,yes
node/2175099050,Master Hotel La Ceiba,medium,55,none,likely_new_candidate,yes
node/2178758745,Cacique Hotel,high,70,none,likely_new_candidate,yes
node/2223972849,Centro de Servicios Comunitarios,high,75,none,likely_new_candidate,yes
node/2290696239,Principe Bahia Cayo Levantado,medium,55,none,likely_new_candidate,yes
node/2333150150,Caliente Caribe,high,75,none,likely_new_candidate,yes
node/2340839097,Consejo Nacional para la Niñez y la Adolescencia,medium,55,none,likely_new_candidate,yes
node/2365189081,Hotel Brisas del Yaque,medium,60,none,likely_new_candidate,yes
node/2377448089,Aurora del Sol Hotel y Casino,high,75,none,likely_new_candidate,yes
node/2554070792,Independencia,high,70,none,likely_new_candidate,yes
node/2590998150,Cabana Elke,medium,55,none,likely_new_candidate,yes
node/2613933314,Los Gringos,medium,55,none,likely_new_candidate,yes
node/2613949124,Four Points by Sheraton,high,95,medium,likely_existing,yes
node/2720148366,New Parisian,medium,55,none,likely_new_candidate,yes
node/2724424280,Cabaña Anwis,high,75,none,likely_new_candidate,yes
node/2724999922,Hotel Libano,medium,55,none,likely_new_candidate,yes
node/2778735252,Sheraton,medium,65,medium,likely_existing,yes
node/2836668830,Las Olas Luxury Villas,high,70,none,likely_new_candidate,yes
node/2866813906,Sensimar Punta Cana Villas & Suites,medium,65,none,likely_new_candidate,yes
node/2955259538,Hotel Villa Colonial,high,75,none,likely_new_candidate,yes
node/2966028861,Hotel Alegria,medium,55,none,likely_new_candidate,yes
node/2998189889,Hotel Occidental Allegro Playa Dorada,medium,55,low,needs_research,yes
node/2998191668,Barceló Puerto Plata,medium,55,low,needs_research,yes
node/2998191669,Hotel Gran Ventana,medium,55,none,likely_new_candidate,yes
node/2998196506,Sunshade Puerto Plata All Inclusive,medium,55,none,likely_new_candidate,yes
node/2998208193,Celuisma Playa Dorada Beach Hotel,medium,55,none,likely_new_candidate,yes
node/3015649822,Occidental Caribe (former Barcelo Punta Cana),medium,65,medium,likely_existing,yes
node/3051207800,Castillo Romano,medium,55,none,likely_new_candidate,yes
node/3066001703,312 by Estancia,medium,55,none,likely_new_candidate,yes
node/3073004437,Hotel Del Valle,medium,55,none,likely_new_candidate,yes
node/3076134847,Ultravioleta Boutique Residences,medium,55,none,likely_new_candidate,yes
node/3125134748,Hotel Restaurante El Barcon,medium,55,none,likely_new_candidate,yes
node/3145200062,Royalton hotel punta cana,medium,55,none,likely_new_candidate,yes
node/3145204521,Occidental Caribe (former Barcelo Punta Cana),high,85,medium,likely_existing,yes
node/3145252104,Grand Bahia Principe Punta Cana,medium,55,high,likely_existing,yes
node/3145261362,Riu Palace Punta Cana,high,85,high,likely_existing,yes
node/3154070396,Excellence Punta Cana,high,100,medium,likely_existing,yes
node/3154071208,Zoetry Agua,medium,55,medium,likely_existing,yes
node/3154209897,TIPICAS CASETAS HOTEL,medium,55,none,likely_new_candidate,yes
node/3158269100,Hotel Plaza Coral,high,80,none,likely_new_candidate,yes
node/3159460065,Sanctuary Cap Cana,medium,55,medium,likely_existing,yes
node/3161538019,Real Intercontinental,high,75,low,needs_research,yes
node/3198643977,Villa Serena Hotel,medium,55,high,likely_existing,yes
node/3216771022,Radisson Hotel Santo Domingo,high,100,high,likely_existing,yes
node/3228673796,Hostel Punta Cana,medium,55,none,likely_new_candidate,yes
node/3287789561,Breathless Resort,high,85,none,likely_new_candidate,yes
node/3331904445,Centro Ecoturistico Nalga de Maco,high,70,none,likely_new_candidate,yes
node/3348737439,casa heuspedes,medium,65,none,likely_new_candidate,yes
node/3354152914,Bungalows of Las Galeras,high,100,none,likely_new_candidate,yes
node/3381376286,Costa Caribe,medium,55,medium,likely_existing,yes
node/3391618918,La Hacienda,high,80,none,likely_new_candidate,yes
node/3391618919,Aparta hotel Mi Casa,medium,55,none,likely_new_candidate,yes
node/3391618928,Hotel Central,high,70,none,likely_new_candidate,yes
node/3391619482,Hotel Docia,high,70,none,likely_new_candidate,yes
node/3396264728,KMA Hotel,medium,55,none,likely_new_candidate,yes
node/3412619503,Armada,medium,55,none,likely_new_candidate,yes
node/3415002993,Sans Souci Appartments,high,70,none,likely_new_candidate,yes
node/3425607182,Monte Placido,high,70,none,likely_new_candidate,yes
node/3448846954,Villa Las Palmas,high,75,none,likely_new_candidate,yes
node/3469337532,Jarabacua River Club & Resort,high,80,none,likely_new_candidate,yes
node/3471324300,Hotelito Oasi Italiana,medium,55,none,likely_new_candidate,yes
node/3499180062,Residence - 4 bedrooms/baths,medium,55,none,likely_new_candidate,yes
node/3501119758,Viva Dominicus Palace by Wyndham,high,70,medium,likely_existing,yes
node/3507207294,"Playa Turquesa Ocean Club, Apartaments, Condos",medium,55,none,likely_new_candidate,yes
node/3507207295,"Stanza Mare, Apartaments, Condos",medium,55,none,likely_new_candidate,yes
node/3523794277,Bella Vista,high,100,none,likely_new_candidate,yes
node/3562603793,Villas San Francisco,medium,55,none,likely_new_candidate,yes
node/3571267812,Cabaña Girasoles,high,75,none,likely_new_candidate,yes
node/3589029764,Cabañas Perla,medium,55,none,likely_new_candidate,yes
node/3613770891,Hotel Rossy,medium,55,none,likely_new_candidate,yes
node/3677079525,Hotel Jacaranda,medium,55,none,likely_new_candidate,yes
node/3679038778,Hotel La Casacada,medium,55,none,likely_new_candidate,yes
node/3681551947,Embassy Suites by Hilton,medium,55,medium,likely_existing,yes
node/3682839239,Hotel Arco Iris,medium,55,none,likely_new_candidate,yes
node/3682839259,Hotel Banjer,medium,55,none,likely_new_candidate,yes
node/3684480772,Villa Mariposas,medium,55,none,likely_new_candidate,yes
node/3685285263,Aparta Hotel Lomar,medium,55,none,likely_new_candidate,yes
node/3685591775,Puerto Plata Beach Resort,medium,55,medium,likely_existing,yes
node/3754705960,Bayahibe Guest House,medium,55,none,likely_new_candidate,yes
node/3758021425,Casa Rural el Paraiso de Saona,medium,55,none,likely_new_candidate,yes
node/3800719312,La Mami River Beach Carribean House,medium,55,none,likely_new_candidate,yes
node/3800724133,Vista Sur,medium,55,none,likely_new_candidate,yes
node/3823328338,Hotel Juan José,medium,55,none,likely_new_candidate,yes
node/3831572259,Chaykovsky Boutique h,high,80,none,likely_new_candidate,yes
node/3977902978,Hotel,medium,55,none,likely_new_candidate,yes
node/4023347101,Excellence El Carmen,high,100,medium,likely_existing,yes
node/4037102403,Kasablanka,medium,65,none,likely_new_candidate,yes
node/4089100900,Hotel Belta Mar,high,75,none,likely_new_candidate,yes
node/4090479282,Motel Ximara,high,75,none,likely_new_candidate,yes
node/4105320791,Dan y Manty's Hostel and Guesthouse,high,85,none,likely_new_candidate,yes
node/4105363389,Dan and Manty's Guesthouse and Hostel,high,85,none,likely_new_candidate,yes
node/4114901553,GAVA hostel,high,75,none,likely_new_candidate,yes
node/4122705989,Residence Paradise Hotel,high,70,none,likely_new_candidate,yes
node/4124230260,Hotel Espinal,medium,55,none,likely_new_candidate,yes
node/4131250990,hotel el príncipe,medium,55,none,likely_new_candidate,yes
node/4162401789,Residencial Costa Azul,medium,60,none,likely_new_candidate,yes
node/4178501205,Hostal Don Gregor,medium,60,none,likely_new_candidate,yes
node/4202607890,Villa Taina,high,70,medium,likely_existing,yes
node/4207688396,Hotel Century Plaza,medium,55,high,likely_existing,yes
node/4214843120,El Pelicano Apart-Hotel,high,100,none,likely_new_candidate,yes
node/4214864111,Las Galeras Village,high,100,none,likely_new_candidate,yes
node/4239744248,Cofresi Palm,medium,55,medium,likely_existing,yes
node/4246303893,Cabaña Rubí,high,75,none,likely_new_candidate,yes
node/4268870091,Melia Caribe Tropical,medium,60,none,likely_new_candidate,yes
node/4291376989,La Castilla,high,70,none,likely_new_candidate,yes
node/4317234196,Casa Sanchez Boutique Hotel,medium,60,none,likely_new_candidate,yes
node/4331249886,Sonido del Yaque,medium,55,none,likely_new_candidate,yes
node/4367302200,Marianela,medium,55,none,likely_new_candidate,yes
node/4368198266,Tubagua Plantation Eco Lodge,high,80,none,likely_new_candidate,yes
node/4379236990,Res. Las Canas,medium,60,none,likely_new_candidate,yes
node/4408964472,Paramount Hotel 40,medium,55,none,likely_new_candidate,yes
node/4413183691,El Gran Nelson,medium,60,none,likely_new_candidate,yes
node/4414072089,Boca Chica Beach,medium,60,low,needs_research,yes
node/4414414490,Hotel Novus Caoba,high,70,none,likely_new_candidate,yes
node/4418061395,Boca Chica Beach,medium,55,low,needs_research,yes
node/4419741355,Villa Ibiscus,high,85,none,likely_new_candidate,yes
node/4425294491,sea & garden realty,medium,55,none,likely_new_candidate,yes
node/4425298692,hotel magic tropical,high,70,none,likely_new_candidate,yes
node/4429212789,Tahiti Apartahotel,medium,60,none,likely_new_candidate,yes
node/4438429730,Villa Ixora,high,85,none,likely_new_candidate,yes
node/4438479511,Villa Flamboyan,high,85,none,likely_new_candidate,yes
node/4438479996,Jasmine La Playita,high,85,none,likely_new_candidate,yes
node/4438901904,Aparta Hotel Losta Linda,medium,60,none,likely_new_candidate,yes
node/4439105995,CARIBE TROPICAL & PRINCESS,medium,55,low,needs_research,yes
node/4449225891,Mi Frontera,medium,55,none,likely_new_candidate,yes
node/4455315990,Hotel Valle Nuevo,medium,60,none,likely_new_candidate,yes
node/4463815191,El Viajante,medium,55,none,likely_new_candidate,yes
node/4476137645,Chronos Aparta Hotel,medium,55,none,likely_new_candidate,yes
node/4478889890,hotel,medium,55,none,likely_new_candidate,yes
node/4481983591,Casa de Evans,medium,60,none,likely_new_candidate,yes
node/4483195390,kapi,medium,55,none,likely_new_candidate,yes
node/4494584099,La Estancia Golf Resort,medium,55,none,likely_new_candidate,yes
node/4511839291,Yonu,medium,55,none,likely_new_candidate,yes
node/4543399590,Mi casa,medium,55,none,likely_new_candidate,yes
node/4557149392,14 de junio,medium,55,none,likely_new_candidate,yes
node/4559226076,Centro Educativo Albergue Divino Niño Jesús,medium,55,none,likely_new_candidate,yes
node/4573520294,El Mundo del Amor,medium,55,none,likely_new_candidate,yes
node/4574256090,Res. Kamila,medium,60,none,likely_new_candidate,yes
node/4574256989,Res. Porto Bello,medium,60,none,likely_new_candidate,yes
node/4576227595,fata morgana,high,90,none,likely_new_candidate,yes
node/4580475290,Las Galeras Island Hostel,high,90,none,likely_new_candidate,yes
node/4581697230,Kite Boarding School Cabarete,medium,60,none,likely_new_candidate,yes
node/4590930889,Defensa civil,medium,55,none,likely_new_candidate,yes
node/4595203289,Apartamento,medium,55,none,likely_new_candidate,yes
node/4599759989,Chino Restaurant & Hotel,medium,55,none,likely_new_candidate,yes
node/4602678989,Villa Alegría,medium,60,none,likely_new_candidate,yes
node/4610643992,Hotel Kaoba,medium,55,high,likely_existing,yes
node/4638810890,La Isabela,medium,60,none,likely_new_candidate,yes
node/4660748798,Grand Bahia Principe Bavaro,medium,55,medium,likely_existing,yes
node/4660748808,Grand Bahia Principe Aquamarine,medium,55,low,needs_research,yes
node/4665843493,Maunaloa Hotel y casino,medium,55,low,needs_research,yes
node/4674062489,hotel Navarro,medium,55,none,likely_new_candidate,yes
node/4687866270,Villa Diana,high,80,none,likely_new_candidate,yes
node/4687868978,Villa Maxime,high,85,none,likely_new_candidate,yes
node/4694290991,Aunt's House,medium,55,none,likely_new_candidate,yes
node/4696009189,Miyoue's House,medium,55,none,likely_new_candidate,yes
node/4698253090,El Caribeño,medium,55,medium,likely_existing,yes
node/4699506992,La casa,high,70,none,likely_new_candidate,yes
node/4702442791,El Caribeño,medium,55,medium,likely_existing,yes
node/4712643689,Moricete House,medium,60,none,likely_new_candidate,yes
node/4713495592,Casa edwardp,high,70,none,likely_new_candidate,yes
node/4713682901,Brisas de la Montaña,medium,60,none,likely_new_candidate,yes
node/4713827691,Hotel Brisas del Yaque,medium,60,none,likely_new_candidate,yes
node/4715193291,Francis house,medium,55,none,likely_new_candidate,yes
node/4719222390,Glamourus Salon de eventos,medium,55,none,likely_new_candidate,yes
node/4719780492,Dany's House,medium,55,none,likely_new_candidate,yes
node/4719836692,Hantz 's House,medium,55,none,likely_new_candidate,yes
node/4721514190,tolentino PN,medium,55,none,likely_new_candidate,yes
node/4724610560,Villa Caribeña,high,80,none,likely_new_candidate,yes
node/4725033690,Esmeralda,medium,55,none,likely_new_candidate,yes
node/4728384589,Cabañas Turísticas Dominicantica Spanish,medium,60,none,likely_new_candidate,yes
node/4734649323,Punta Rucia Lodge,high,70,none,likely_new_candidate,yes
node/4737380481,Hotel Puerto Plaza,medium,55,none,likely_new_candidate,yes
node/4739029122,Sol Azul,medium,55,none,likely_new_candidate,yes
node/4740698628,Hotel sol de verano,medium,55,none,likely_new_candidate,yes
node/4742281821,Barrio los quemao bonao,medium,60,none,likely_new_candidate,yes
node/4744188329,La cueva,medium,55,none,likely_new_candidate,yes
node/4744190221,Estancia Principe,medium,60,none,likely_new_candidate,yes
node/4744190223,Laguna Park Hostel,medium,55,none,likely_new_candidate,yes
node/4744190224,La iguana,medium,55,none,likely_new_candidate,yes
node/4753601222,Palmetto Hotel,high,70,none,likely_new_candidate,yes
node/4756073823,Solazul,high,80,none,likely_new_candidate,yes
node/4756935032,Sassoue 's House,medium,55,none,likely_new_candidate,yes
node/4768918344,Llave Del Mar Hotel,medium,55,none,likely_new_candidate,yes
node/4777950921,Maria 's House,medium,55,none,likely_new_candidate,yes
node/4785388022,Sol Azul,high,70,none,likely_new_candidate,yes
node/4787082928,Maria ' s House,medium,55,none,likely_new_candidate,yes
node/4787293524,Villa Baya,medium,55,none,likely_new_candidate,yes
node/4788290621,Todo blanco,medium,55,none,likely_new_candidate,yes
node/4790764821,Casa bella caribe,medium,55,none,likely_new_candidate,yes
node/4793271688,White Sands Aparta Hotel,medium,55,none,likely_new_candidate,yes
node/4794193227,Don Olivo,medium,55,none,likely_new_candidate,yes
node/4819701721,Home,medium,55,none,likely_new_candidate,yes
node/4840627721,Eco hotel Centro Verde,medium,55,none,likely_new_candidate,yes
node/4844011423,White Sands B&B,high,80,none,likely_new_candidate,yes
node/4850900022,Bayahibe Guest House,medium,55,none,likely_new_candidate,yes
node/4856382922,Cutty's House,medium,55,none,likely_new_candidate,yes
node/4864427224,Casa de minda,medium,60,none,likely_new_candidate,yes
node/4867339721,hotel central,medium,55,none,likely_new_candidate,yes
node/4880615522,Angee,medium,55,none,likely_new_candidate,yes
node/4882910121,Primaveral,medium,55,none,likely_new_candidate,yes
node/4889719121,La Casa Amarilla,high,75,none,likely_new_candidate,yes
node/4896032821,Blas 33,high,70,none,likely_new_candidate,yes
node/4901757124,Asilo de Ancianos,medium,55,none,likely_new_candidate,yes
node/4901959222,Hotel Riu República,high,85,medium,likely_existing,yes
node/4906431721,Hostal Casa 51,high,95,none,likely_new_candidate,yes
node/4918991365,Paradisus Punta cana,medium,55,none,likely_new_candidate,yes
node/4938248923,Finca Yajaira,medium,55,none,likely_new_candidate,yes
node/4938256423,Finca tío rico,medium,55,none,likely_new_candidate,yes
node/4943248421,Seminario Nuestra Señora Las Mercedes,medium,60,none,likely_new_candidate,yes
node/4944858821,Club havana house renta de habitacion por noche,medium,65,none,likely_new_candidate,yes
node/4946633123,casa Mari karina,medium,55,none,likely_new_candidate,yes
node/4947065426,Sharon Palm beach,medium,55,none,likely_new_candidate,yes
node/4950101005,Grand Palladium Bavaro Suites Resort & Spa,medium,55,low,needs_research,yes
node/4967005421,Hotel Al Mare,high,85,none,likely_new_candidate,yes
node/4978572049,Hôtel Atabey,medium,60,none,likely_new_candidate,yes
node/4978573527,Hotel Brenda,medium,55,none,likely_new_candidate,yes
node/5002266421,hotel guacamayos,medium,60,none,likely_new_candidate,yes
node/5002268121,Rancho Guacamayos,high,75,none,likely_new_candidate,yes
node/5007285024,Casa lisbeth,medium,60,none,likely_new_candidate,yes
node/5017189124,Mena House,medium,55,none,likely_new_candidate,yes
node/5025787021,Hotel Esmeralda,medium,55,none,likely_new_candidate,yes
node/5029505780,Santo Domingo Bed & Breakfast,high,100,none,likely_new_candidate,yes
node/5037222221,Los Corales Village RECEPTION,high,90,none,likely_new_candidate,yes
node/5037222222,Hotel Tropicana Deluxe,high,100,none,likely_new_candidate,yes
node/5047214658,HOTEL METROPOLITANO,medium,60,none,likely_new_candidate,yes
node/5047235080,HOTEL MARIEN,medium,60,none,likely_new_candidate,yes
node/5047235081,HOTEL DON CHUCHO,medium,60,none,likely_new_candidate,yes
node/5047243323,HOTEL LA PLAZA,medium,60,none,likely_new_candidate,yes
node/5060398041,Plaza Lusitania,high,85,none,likely_new_candidate,yes
node/5082013621,Mxnc,medium,60,none,likely_new_candidate,yes
node/5103798423,El Señorial,high,70,none,likely_new_candidate,yes
node/5113439323,Hotel Carmen,high,70,none,likely_new_candidate,yes
node/5133859195,Hotel Mercedes,medium,55,none,likely_new_candidate,yes
node/5169979322,Casa dylan,medium,55,none,likely_new_candidate,yes
node/5169980221,Casa jazmin tía,medium,55,none,likely_new_candidate,yes
node/5180976697,Plaza Lusitania,high,80,none,likely_new_candidate,yes
node/5181801658,Amhsa Marina Grand Paradise Playa Dorada,medium,55,none,likely_new_candidate,yes
node/5207508821,Villa los Gorgones,high,80,none,likely_new_candidate,yes
node/5210894623,Capi festival,medium,55,none,likely_new_candidate,yes
node/5213115020,Hotel Bohío,medium,55,none,likely_new_candidate,yes
node/5217259622,Cadaques Weare,medium,55,none,likely_new_candidate,yes
node/5249076522,Casa Cayuco,high,95,none,likely_new_candidate,yes
node/5250624222,"Calle 7, #4",high,70,none,likely_new_candidate,yes
node/5261898622,Casa de vilca (el toro),medium,55,none,likely_new_candidate,yes
node/5277775422,Casa de mami,medium,55,none,likely_new_candidate,yes
node/5280875644,Hostal Rural Backpackers,high,100,none,likely_new_candidate,yes
node/5324749024,casa de raque,medium,55,none,likely_new_candidate,yes
node/5326175222,Hostal Plaza Yu,medium,55,none,likely_new_candidate,yes
node/5326175226,Rancho Platón,medium,55,none,likely_new_candidate,yes
node/5329844221,Hostel laguna park,medium,55,none,likely_new_candidate,yes
node/5332349322,korona hotel,medium,55,none,likely_new_candidate,yes
node/5335310822,Parador El Cachimbo de Mama,medium,55,none,likely_new_candidate,yes
node/5340908321,sunset,medium,55,none,likely_new_candidate,yes
node/5343543031,AHNVEE Resorts Spa,high,75,none,likely_new_candidate,yes
node/5354918621,Rancho Platón,medium,55,none,likely_new_candidate,yes
node/5399147196,Hotel Zapata,medium,60,none,likely_new_candidate,yes
node/5405414236,Casa Ruso,medium,55,none,likely_new_candidate,yes
node/5411042221,Villa Alexandra,high,75,none,likely_new_candidate,yes
node/5434970048,El Morro Eco Adventure Hotel,high,70,none,likely_new_candidate,yes
node/5435064148,Hotel La Saladilla Beach Club,high,70,none,likely_new_candidate,yes
node/5435135971,Hotel Casa Hemingway,medium,55,high,likely_existing,yes
node/5513968241,The Reserve at Paradisus Palma Real,medium,55,none,likely_new_candidate,yes
node/5565305910,El Beaterio Guest House,medium,60,medium,likely_existing,yes
node/5595144823,Swell Surf Camp,high,75,none,likely_new_candidate,yes
node/5614046221,Casa,medium,55,none,likely_new_candidate,yes
node/5648139622,Hostal Mendez,high,70,none,likely_new_candidate,yes
node/5688089045,"Lopesan Costa Bávaro Resort, Spa & Casino",high,100,medium,likely_existing,yes
node/5848180986,San Martin,medium,55,none,likely_new_candidate,yes
node/5867352185,San Martin,medium,55,none,likely_new_candidate,yes
node/5916285505,Hotel La Fuente,medium,55,none,likely_new_candidate,yes
node/5916667511,Hotel WC,medium,55,none,likely_new_candidate,yes
node/5930313289,Hotel Mi Cabaña,medium,55,none,likely_new_candidate,yes
node/5935898328,Resort Bahía de los Dioses,medium,55,none,likely_new_candidate,yes
node/5936807188,Hotel Cotubanamá,medium,55,none,likely_new_candidate,yes
node/5936880385,Hotel El Paraíso,medium,55,none,likely_new_candidate,yes
node/5936880386,Hotel Mildania,medium,55,none,likely_new_candidate,yes
node/5984420795,casa mama Adrian,medium,55,none,likely_new_candidate,yes
node/5984422591,hotel El toro,medium,55,none,likely_new_candidate,yes
node/5985277192,dormitorio hato mayor,medium,55,none,likely_new_candidate,yes
node/6008398122,Habana,medium,55,none,likely_new_candidate,yes
node/6017605988,Altos de virella,medium,55,none,likely_new_candidate,yes
node/6020419629,The Circle by Meliá,high,70,none,likely_new_candidate,yes
node/6022237072,Hotel Galsi,high,85,none,likely_new_candidate,yes
node/6032173384,Hotel Leidy,medium,55,none,likely_new_candidate,yes
node/6032173891,Hotel Angelito,medium,55,none,likely_new_candidate,yes
node/6044023488,Hotel Las Colinas,medium,65,none,likely_new_candidate,yes
node/6186383052,Casa Gio Las Terrenas,high,85,none,likely_new_candidate,yes
node/6223357785,Black Beards Resort,medium,60,none,likely_new_candidate,yes
node/6235248905,Villa Lotus,medium,55,none,likely_new_candidate,yes
node/6250137987,Cabañas Manhattan,medium,60,none,likely_new_candidate,yes
node/6253504396,Hostel Quintonido,medium,55,none,likely_new_candidate,yes
node/6259007985,Hotel Jimaní,medium,55,none,likely_new_candidate,yes
node/6281684685,Casa grande,medium,55,none,likely_new_candidate,yes
node/6294161985,Tia de Lisa,medium,55,none,likely_new_candidate,yes
node/6313032685,Hotel Taíno Fronterizo,medium,55,none,likely_new_candidate,yes
node/6314999313,Catalonia Bavaro Royal,medium,65,medium,likely_existing,yes
node/6402906489,casa de esperanza,medium,55,none,likely_new_candidate,yes
