country,current_hotels,estimated_universe,coverage_pct,coverage_status,portfolio_coverage_score,growth_score,discovery_opportunity,known_discovery_stock,review_queue,confidence,recommended_action,readiness,hotels_missing,difficulty,estimated_review_burden,estimated_completion_effort,overall_completion_difficulty,region
Aruba,13,45,28.9,PARTIAL,55.4,9.5,MEDIUM,32,0,medium,PORTFOLIO_BATCH,READY,32,EASY,0.7,SMALL,LOW,Caribbean
Jamaica,78,248,31.5,PARTIAL,54.4,10.6,MEDIUM,170,0,medium,PORTFOLIO_BATCH,READY,170,MEDIUM,0.7,MEDIUM,MODERATE,Caribbean
Ecuador,31,120,25.8,PARTIAL,53.7,10.6,MEDIUM,89,0,medium,PORTFOLIO_BATCH,READY,89,EASY,0.7,MEDIUM,MODERATE,South America
Puerto Rico,49,131,37.4,PARTIAL,52,8.9,MEDIUM,82,0,medium,PORTFOLIO_BATCH,READY,82,MEDIUM,0.7,MEDIUM,MODERATE,Caribbean
Honduras,12,60,20,PARTIAL,51,9.8,MEDIUM,48,0,medium,PORTFOLIO_BATCH,READY,48,EASY,0.7,SMALL,LOW,Central America
Uruguay,16,56,28.6,PARTIAL,49.6,9.6,MEDIUM,40,0,medium,PORTFOLIO_BATCH,READY,40,EASY,0.7,SMALL,LOW,South America
Barbados,47,102,46.1,PARTIAL,48.6,8.4,MEDIUM,55,0,medium,PORTFOLIO_BATCH,READY,55,MEDIUM,0.7,MEDIUM,MODERATE,Caribbean
Trinidad and Tobago,7,21,33.3,PARTIAL,47.7,7.5,MEDIUM,14,0,medium,PORTFOLIO_BATCH,READY,14,MEDIUM,0.7,SMALL,MODERATE,Caribbean
El Salvador,10,32,31.3,PARTIAL,43.5,7.7,MEDIUM,22,0,medium,PORTFOLIO_BATCH,READY,22,MEDIUM,0.7,SMALL,MODERATE,Central America
Mexico,2181,3614,60.3,ADVANCING,40.9,39.6,MEDIUM,1433,0,high,PORTFOLIO_BATCH,READY,1433,EASY,0.25,LARGE,MODERATE,Central America
Colombia,967,1266,76.4,ADVANCING,39.4,15,MEDIUM,299,0,high,PORTFOLIO_BATCH,READY,299,EASY,0.25,MEDIUM,MODERATE,South America
Costa Rica,748,950,78.7,ADVANCING,33.5,12.5,MEDIUM,202,0,high,PORTFOLIO_BATCH,READY,202,EASY,0.25,MEDIUM,MODERATE,Central America
Panama,325,325,100,COMPLETE,15,3.3,LOW,0,0,high,HOLD_ENRICHMENT,READY,0,HARD,0.25,DONE,HIGH,Central America
Dominican Republic,654,654,100,COMPLETE,15,4.3,LOW,0,0,high,HOLD_ENRICHMENT,READY,0,HARD,0.25,DONE,HIGH,Caribbean
